# eBE(cm-1)  int. (rel. X0)  beta
33238.561      0.01546      -2.43198
33279.361      0.01517       1.18982
33319.969      0.01008       0.41244
33360.385     -0.00395      -0.39876
33400.609      0.01275      -1.83420
33440.641      0.00950      -3.61179
33480.481      0.00956       5.25166
33520.129      0.01058      -2.27469
33559.585      0.01345      -0.55517
33598.849      0.01402      -0.58924
33637.921      0.02662      -0.71444
33676.801     -0.01545      -0.05101
33715.489     -0.00244      -4.24261
33753.985      0.01459      -1.68487
33792.289      0.01646       0.37301
33830.401      0.01852      -2.32947
33868.321      0.01689      -0.07493
33906.049     -0.00776      -3.17377
33943.585      0.01280      -5.11547
33980.929      0.00673      -0.84282
34018.081      0.01749      -0.22530
34055.041     -0.00039     -79.52464
34091.809      0.00836      -0.29131
34128.385     -0.00104      16.46035
34164.769      0.00957      -3.22635
34200.961      0.00987      -2.39469
34236.961      0.01791       0.27139
34272.769      0.01466      -2.03040
34308.385      0.01177      -0.36695
34343.809      0.00768       0.59003
34379.041      0.00409      -7.23341
34414.081      0.00343       0.40144
34448.929      0.01965      -2.42882
34483.585      0.01536       1.77829
34518.049     -0.00525       3.67875
34552.321      0.00597      -1.36173
34586.401     -0.00773      -3.32115
34620.289      0.02481      -0.58492
34653.985      0.01191      -2.06062
34687.489      0.01072      -1.48117
34720.801      0.01298       0.66479
34753.921      0.00842      -2.10402
34786.849      0.02240      -2.03934
34819.585      0.02429      -0.40655
34852.129      0.01074       0.10801
34884.481      0.00480      -1.11244
34916.641      0.01675      -2.37235
34948.609      0.01585      -2.24625
34980.385      0.00461      -1.23399
35011.969     -0.00643      -1.48855
35043.361      0.02979      -0.81184
35074.561     -0.01316       0.50956
35105.569      0.01829      -0.87367
35136.385      0.01008       0.26283
35167.009      0.00086      10.81698
35197.441      0.00858       0.35177
35227.681      0.02775      -0.76573
35257.729      0.00649      -0.52416
35287.585     -0.00095      -4.11089
35317.249      0.02854      -2.16693
35346.721      0.00643       3.00891
35376.001     -0.00335      -4.85576
35405.089      0.00514      -0.82593
35433.985      0.02353      -1.39763
35462.689      0.01956      -1.99255
35491.201      0.02868      -0.06823
35519.521     -0.00389       6.49653
35547.649      0.00789       0.22724
35575.585      0.02147       0.30583
35603.329      0.02774      -1.11676
35630.881     -0.00878      -0.39767
35658.241      0.02869      -1.52024
35685.409      0.00667      -0.54223
35712.385      0.00483      -0.61202
35739.169      0.01433       2.31293
35765.761      0.01657       0.32243
35792.161      0.04316      -0.78443
35818.369      0.01167      -3.21802
35844.385      0.01188      -2.12981
35870.209      0.03641       0.31726
35895.841      0.01041      -2.37059
35921.281      0.00761      -0.16735
35946.529      0.00442      -2.12061
35971.585      0.02465      -1.90292
35996.449      0.00905      -0.05091
36021.121      0.01114       0.08004
36045.601     -0.00114     -14.87609
36069.889      0.02388       0.23364
36093.985      0.01603      -1.82818
36117.889      0.01774      -0.59935
36141.601      0.03151       0.13843
36165.121      0.01736      -0.28010
36188.449      0.00224      -6.33206
36211.585      0.03752      -0.20114
36234.529     -0.01049      -1.80228
36257.281      0.01369      -0.75855
36279.841      0.02451      -1.85531
36302.209      0.03908      -0.10075
36324.385      0.02598      -0.63118
36346.369      0.01748      -0.72903
36368.161      0.01715       1.08308
36389.761      0.02002      -1.22876
36411.169      0.02502      -1.65339
36432.385      0.01790      -0.64529
36453.409      0.01421      -1.13992
36474.241      0.01923       0.40058
36494.881      0.03947      -0.63716
36515.329      0.03450      -1.29808
36535.585      0.01110       0.50883
36555.649      0.02610       0.57454
36575.521      0.01676      -0.60677
36595.201      0.04865      -0.58384
36614.689      0.00819       1.19499
36633.985      0.04955      -0.40351
36653.089      0.04120      -0.28714
36672.001      0.01937      -2.34807
36690.721      0.01822       0.95038
36709.249      0.01850       1.41593
36727.585      0.02311      -1.46801
36745.729      0.05601      -0.43477
36763.681      0.00164      11.66736
36781.441      0.01407      -0.07645
36799.009      0.03647      -0.17801
36816.385      0.03494      -0.39055
36833.569      0.06747      -0.91030
36850.561     -0.00334     -11.88788
36867.361      0.02337       0.14514
36883.969      0.06124      -0.93282
36900.385      0.01795       0.47296
36916.609      0.03319       0.63115
36932.641      0.02106      -1.76540
36948.481      0.01863       0.60308
36964.129      0.05000      -0.19183
36979.585      0.04406      -0.43214
36994.849      0.04369       0.46062
37009.921      0.04854      -0.02402
37024.801      0.01972      -0.97801
37039.489      0.05128      -0.45400
37053.985      0.04357      -0.15020
37068.289      0.02823       0.12870
37082.401      0.02119      -1.64279
37096.321      0.03441       0.42840
37110.049      0.03606      -0.44885
37123.585      0.05585      -0.65721
37136.929      0.03340       0.18952
37150.081      0.02253      -0.37213
37163.041      0.03189       0.60136
37175.809      0.02397       0.35388
37188.385      0.04616       0.23130
37200.769      0.03676       0.08104
37212.961      0.01569       0.97171
37224.961      0.03573       0.24777
37236.769      0.05509      -0.84638
37248.385      0.04865       0.69969
37259.809      0.02837      -0.77014
37271.041      0.01690       1.50024
37282.081      0.04169       0.26577
37292.929      0.03570      -0.69364
37303.585      0.05059      -0.42685
37314.049      0.03757      -0.23558
37324.321     -0.00001    -2030.63017
37334.401      0.04500       0.19932
37344.289      0.06723       0.27072
37353.985      0.01975       0.74698
37363.489      0.02689      -1.00725
37372.801      0.04876      -0.80685
37381.921      0.01066       0.14272
37390.849      0.02931       0.73827
37399.585      0.04519      -1.00026
37408.129      0.04813      -0.28152
37416.481      0.03353      -0.68735
37424.641      0.00198       4.21928
37432.609      0.02331      -0.74351
37440.385      0.03556       0.10005
37447.969      0.04194      -1.45024
37455.361      0.05170      -1.33707
37462.561      0.02268       1.30674
37469.569      0.00416       2.30141
37476.385      0.02743      -0.80503
37483.009      0.04150      -0.62502
37489.441      0.02810       0.07975
37495.681      0.01282      -0.91675
37501.729     -0.01293      -1.13976
37507.585      0.00376      -1.42047
37513.249      0.02875      -1.21500
37518.721      0.00952       0.82043
37524.001      0.01605      -2.37945
37529.089      0.03087      -1.12553
37533.985     -0.00144     -13.65884
37538.689      0.00364       2.70190
37543.201      0.02432       0.51568
37547.521     -0.00750      -1.19966
37551.649     -0.01467       2.46159
37555.585     -0.00199      20.28643
37559.329     -0.01129       2.88074
37562.881      0.01237      -0.41751
37566.241      0.00516      -4.71684
37569.409     -0.00125       9.55862
37572.385     -0.00676      -0.45961
37575.169     -0.00506      -3.75842
37577.761     -0.00774       0.28898
37580.161      0.00611       1.69472
37582.369      0.01987      -0.23135
37584.385      0.01236      -4.57609
37586.209      0.02608      -2.01955
37587.841      0.01791      -0.79373
37589.281     -0.01734      -2.26953
37590.529     -0.00169       1.01713
37591.585      0.02232      -1.09973
37592.449      0.02071      -0.98917
37593.121     -0.00437       4.42927
37593.601     -0.01699       1.37584
37593.889     -0.01777       0.40996
37593.985     -0.00000       0.46374
