# eBE(cm-1)  int. (rel. X0)  beta
26068.009      0.09394      -0.91388
26101.249      0.12291       0.05406
26134.441      0.20243      -0.09248
26167.585      0.14923      -0.83676
26200.681      0.11662      -1.69148
26233.729      0.13928      -0.66855
26266.729      0.11919      -0.74010
26299.681      0.19746      -0.26111
26332.585      0.13031       0.02135
26365.441     -0.00311     -37.34653
26398.249      0.03757       3.77305
26431.009      0.12762      -0.57700
26463.721      0.14305      -0.52716
26496.385      0.04552       1.99706
26529.001      0.06945       0.23481
26561.569      0.04517       1.25474
26594.089      0.08150       1.03542
26626.561      0.08290      -2.05118
26658.985      0.05775      -0.93614
26691.361      0.11549      -0.30872
26723.689      0.11068      -0.94767
26755.969      0.00496       2.40803
26788.201     -0.00157     -34.36330
26820.385      0.08714       1.05783
26852.521      0.10447       0.23773
26884.609      0.21038      -0.49499
26916.649      0.29261      -1.40793
26948.641      0.35719      -1.61998
26980.585      0.41512      -1.05118
27012.481      0.51700      -0.94560
27044.329      0.50077      -1.30822
27076.129      0.42821      -1.06905
27107.881      0.39813      -0.79538
27139.585      0.41477      -0.56404
27171.241      0.31383      -0.22269
27202.849      0.19882       0.57117
27234.409      0.15953       0.43800
27265.921      0.09599       0.97967
27297.385      0.16580       0.11148
27328.801      0.19103      -0.06032
27360.169      0.27256      -0.30759
27391.489      0.46075      -0.55193
27422.761      0.40213      -0.60332
27453.985      0.36561      -0.81982
27485.161      0.50043      -0.71457
27516.289      0.47680      -0.26079
27547.369      0.26862       0.36679
27578.401      0.25272       0.74403
27609.385      0.39050       0.49744
27640.321      0.46836      -0.11225
27671.209      0.52838      -0.41119
27702.049      0.66192      -0.77213
27732.841      0.58118      -0.85703
27763.585      0.45850      -0.57580
27794.281      0.46344      -0.70217
27824.929      0.37356      -0.48849
27855.529      0.26722      -0.48576
27886.081      0.31104      -0.96435
27916.585      0.29051      -0.40116
27947.041      0.25453       0.89717
27977.449      0.19887       0.39167
28007.809      0.13434       0.03254
28038.121      0.09661      -0.83765
28068.385      0.20463      -0.94357
28098.601      0.53794      -0.51211
28128.769      0.69296      -0.57947
28158.889      0.57835      -0.80412
28188.961      0.37075      -1.12285
28218.985      0.36912      -1.26897
28248.961      0.45267      -1.05753
28278.889      0.27488      -0.83948
28308.769      0.11486      -1.52585
28338.601      0.03136      -1.28446
28368.385     -0.01551      -0.73048
28398.121      0.14535      -0.99979
28427.809      0.19563      -0.70141
28457.449      0.16610      -0.39934
28487.041      0.10679      -0.88257
28516.585      0.08909      -1.38237
28546.081      0.19481      -0.75680
28575.529      0.05877      -0.75127
28604.929      0.04612      -3.63455
28634.281      0.22184      -1.38066
28663.585      0.24596      -0.37415
28692.841      0.22544      -0.21922
28722.049      0.23759      -0.64994
28751.209      0.11720       0.81100
28780.321      0.07577       0.95697
28809.385      0.10714       0.29739
28838.401      0.17166      -0.14216
28867.369      0.21023      -0.69370
28896.289      0.15626      -1.98542
28925.161      0.09079      -0.22171
28953.985      0.14540       0.41319
28982.761      0.24453      -0.17132
29011.489      0.34195      -0.49288
29040.169      0.33811      -0.29077
29068.801      0.11870       0.42627
29097.385      0.16231      -0.17132
29125.921      0.29221      -0.64070
29154.409      0.20269      -0.10249
29182.849      0.08383       0.74727
29211.241      0.07644       0.08265
29239.585      0.12293       0.14037
29267.881      0.21490      -0.51656
29296.129      0.28906      -0.79415
29324.329      0.26292      -0.50342
29352.481      0.15801      -0.52955
29380.585      0.23576      -0.75898
29408.641      0.18365      -0.95399
29436.649      0.03907      -3.02853
29464.609      0.04009       2.90965
29492.521      0.05649       0.90481
29520.385      0.10133      -0.34753
29548.201      0.23302      -0.63543
29575.969      0.21149      -0.71662
29603.689      0.11883      -0.19476
29631.361      0.15970      -0.80970
29658.985      0.18320      -1.19584
29686.561      0.09762      -1.42397
29714.089      0.10787      -0.88432
29741.569      0.18721      -0.76875
29769.001      0.18214      -0.33657
29796.385      0.15494      -0.16925
29823.721      0.12250       0.05923
29851.009      0.03976      -1.76504
29878.249      0.08731      -1.89688
29905.441      0.09855      -1.08630
29932.585      0.09844       0.24986
29959.681      0.16510      -0.60762
29986.729      0.03672       0.98948
30013.729     -0.06465      -0.34678
30040.681      0.07110      -0.63229
30067.585      0.01514      -2.30383
30094.441      0.02428      -0.08226
30121.249      0.07365      -0.83220
30148.009     -0.00310      32.72325
30174.721     -0.00246      33.10505
30201.385      0.12630      -0.09191
30228.001      0.20442      -0.13483
30254.569      0.11648      -0.36052
30281.089     -0.03588      -1.59742
30307.561      0.07707       0.00686
30333.985      0.12175      -0.88598
30360.361     -0.00770      11.51084
30386.689      0.06518      -0.78397
30412.969      0.14341      -0.72807
30439.201      0.08263      -1.89178
30465.385     -0.00475     -13.02312
30491.521     -0.02006      -2.49346
30517.609      0.10817      -0.28500
30543.649      0.09915      -0.10885
30569.641      0.03138      -1.86000
