# eBE(cm-1)  int. (rel. X0)  beta
35174.635      0.03718      -0.70269
35182.249      0.00938      -0.93016
35189.851      0.02420      -0.09286
35197.441      0.02494      -0.77508
35205.019     -0.03303       0.12537
35212.585      0.03697       0.25048
35220.139      0.01332      -2.11135
35227.681      0.01798       0.31667
35235.211      0.02483      -0.34268
35242.729      0.02352      -2.31775
35250.235      0.02319      -1.34655
35257.729      0.01855      -0.16889
35265.211      0.02223      -1.43811
35272.681      0.03609      -0.46330
35280.139      0.05183       0.11091
35287.585      0.02578      -1.13095
35295.019      0.00736      -0.11835
35302.441      0.00245      -6.80346
35309.851      0.01602      -0.40466
35317.249      0.04294      -1.06177
35324.635     -0.00924      -0.20407
35332.009     -0.00618      -0.53494
35339.371      0.04296      -0.10756
35346.721      0.04057      -0.69689
35354.059      0.04918      -0.69063
35361.385      0.02246      -0.79461
35368.699      0.05478      -0.27016
35376.001      0.04464      -0.38528
35383.291      0.03356      -0.55725
35390.569      0.00389      -0.69865
35397.835      0.02749      -0.82502
35405.089      0.05127      -0.81086
35412.331      0.01251      -0.17889
35419.561      0.03203      -0.99717
35426.779      0.12653      -0.72099
35433.985      0.08415      -0.36239
35441.179      0.06977      -0.82570
35448.361      0.04421      -0.70977
35455.531      0.04266      -0.83719
35462.689      0.02674      -0.78819
35469.835      0.02830      -0.88939
35476.969      0.04714       0.34813
35484.091      0.08642      -0.48059
35491.201      0.06078      -0.66097
35498.299      0.04872       0.00333
35505.385      0.01970      -0.08486
35512.459      0.03578      -0.12656
35519.521      0.05805      -0.53466
35526.571      0.05443      -0.53731
35533.609      0.06864      -0.60593
35540.635      0.06026      -0.69343
35547.649      0.03744      -1.07094
35554.651      0.04877      -1.22242
35561.641      0.04392      -0.43741
35568.619      0.01297      -1.81050
35575.585      0.01856       0.17872
35582.539      0.01565      -2.67644
35589.481      0.03619      -1.13291
35596.411     -0.00157     -19.54254
35603.329      0.01757      -1.19196
35610.235      0.01282       0.50509
35617.129      0.00628       3.56841
35624.011      0.02400      -1.55560
35630.881      0.00036     -70.57933
35637.739      0.01665      -0.53722
35644.585      0.01127       1.48833
35651.419      0.02492      -0.72275
35658.241      0.00425      -3.39747
35665.051      0.03008      -0.41423
35671.849      0.02177      -2.86340
35678.635      0.04284       0.01620
35685.409      0.02616      -0.84750
35692.171      0.01764      -0.28511
35698.921      0.01139       0.10825
35705.659      0.01163      -1.69451
35712.385      0.03720      -1.11343
35719.099      0.00761      -4.07416
35725.801      0.01817       0.12596
35732.491      0.01968      -1.51452
35739.169      0.01666       0.32080
35745.835      0.02356      -2.23286
35752.489      0.01045      -0.51075
35759.131      0.02709      -1.18313
35765.761      0.01354      -0.11379
35772.379      0.00927      -1.45689
35778.985      0.00433      -2.28858
35785.579      0.04159      -1.53184
35792.161      0.00275       9.26715
35798.731      0.00677      -0.43472
35805.289      0.02291      -1.70291
35811.835      0.01806       0.45181
35818.369      0.00891      -3.22827
35824.891      0.00592      -2.12158
35831.401      0.01104      -1.16102
35837.899      0.04538      -1.16071
35844.385     -0.00240     -15.96305
35850.859      0.02497      -1.52785
35857.321      0.02579      -0.07100
35863.771      0.01096      -3.57972
35870.209      0.00442       4.91682
35876.635      0.02866      -0.86688
35883.049      0.02140      -1.56898
35889.451      0.00207      -6.61570
35895.841      0.03859      -0.65188
35902.219      0.00563      -0.73721
35908.585      0.00158      13.05097
35914.939      0.01836      -1.81074
35921.281      0.01326      -1.84140
35927.611      0.02623      -0.28436
35933.929      0.01462       0.52911
35940.235     -0.00250       3.17208
35946.529      0.03346      -1.29070
35952.811      0.00084     -16.50175
35959.081      0.02570      -0.17641
35965.339      0.02289      -1.05975
35971.585      0.00608      -4.02867
35977.819      0.02530      -0.71510
35984.041      0.01935      -0.08394
35990.251     -0.01364      -0.18542
35996.449      0.00702       0.28765
36002.635      0.03954      -0.95672
36008.809      0.01285       0.86541
36014.971      0.01424      -1.15600
36021.121      0.01923      -0.56272
36027.259      0.00176     -23.21429
36033.385     -0.00241      -2.29900
36039.499      0.00676       1.49921
36045.601      0.01802      -1.80758
36051.691      0.02913      -0.56804
36057.769      0.00800      -2.26492
36063.835      0.02037      -1.57399
36069.889      0.00867       0.01130
36075.931      0.00793      -2.85180
36081.961      0.00599       4.36686
36087.979      0.01807      -0.77836
36093.985      0.02700      -1.12655
36099.979     -0.00169       3.19320
36105.961      0.01432      -0.54544
36111.931      0.00899       1.00349
36117.889      0.01631      -1.65284
36123.835      0.02815      -1.49324
36129.769      0.01471      -0.34041
36135.691      0.00883      -3.56651
36141.601     -0.00740       0.26071
36147.499      0.02400      -0.83820
36153.385      0.01577      -0.90718
36159.259      0.00809      -3.00711
36165.121      0.01671       1.11805
36170.971      0.01659      -1.53968
36176.809      0.01607      -1.36047
36182.635      0.02325      -0.68761
36188.449     -0.00190       2.07461
36194.251      0.01230       0.27945
36200.041      0.00156       1.10346
36205.819      0.02878      -1.51116
36211.585     -0.00244      -1.21909
36217.339      0.03749      -0.90947
36223.081      0.02250      -1.59559
36228.811     -0.00549       1.88927
36234.529      0.01464      -1.47567
36240.235      0.01160      -2.03487
36245.929     -0.00050      -3.61124
36251.611      0.01892       0.32090
36257.281      0.01660      -0.47964
36262.939      0.00492      -6.89823
36268.585      0.02622      -0.39100
36274.219      0.00801      -2.24538
36279.841      0.01065      -0.75048
36285.451     -0.00268       1.34628
36291.049      0.03007      -0.41887
36296.635      0.01769      -0.71678
36302.209      0.00084     -37.63161
36307.771      0.02434      -0.91408
36313.321     -0.00553      -3.59288
36318.859      0.01675      -2.92022
36324.385      0.03430      -1.58742
36329.899      0.01336      -0.75548
36335.401      0.02236      -0.44734
36340.891     -0.00552      -3.22241
36346.369      0.01020      -3.59313
36351.835      0.00486       0.14924
36357.289      0.03358      -0.31208
36362.731      0.00964      -3.71153
36368.161      0.01481      -0.88413
36373.579      0.01564      -2.24203
36378.985      0.01579      -0.61671
36384.379      0.00731      -0.92340
36389.761      0.01258      -2.12546
36395.131      0.01883      -0.24073
36400.489      0.00979      -0.46346
